source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
original_grid,recall_at_20,cosmetics,quissly_vs_doofinder,0.612296,0.432563,0.179733,0.134828,0.225594,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_20,electronics,quissly_vs_doofinder,0.677200,0.403849,0.273351,0.220629,0.328360,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_20,fast_fashion,quissly_vs_doofinder,0.613591,0.327758,0.285834,0.199850,0.368968,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_20,furniture,quissly_vs_doofinder,0.722177,0.494288,0.227889,0.176789,0.281206,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_20,marketplace,quissly_vs_doofinder,0.744179,0.577543,0.166637,0.084957,0.251173,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_20,pharmacy,quissly_vs_doofinder,0.652049,0.308859,0.343189,0.258662,0.426578,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_20,pooled,quissly_vs_doofinder,0.654912,0.417034,0.237877,0.213772,0.262537,0.000000,0.000000,True,1059,10000,42
original_grid,recall_at_20,auto,quissly_vs_luigisbox,0.596165,0.354131,0.242034,0.191093,0.294066,0.000000,0.000000,True,174,10000,42
original_grid,recall_at_20,cosmetics,quissly_vs_luigisbox,0.612296,0.418308,0.193988,0.140633,0.249195,0.000000,0.000000,True,169,10000,42
original_grid,recall_at_20,electronics,quissly_vs_luigisbox,0.677200,0.379834,0.297365,0.239822,0.357165,0.000000,0.000000,True,167,10000,42
original_grid,recall_at_20,fast_fashion,quissly_vs_luigisbox,0.613591,0.290088,0.323503,0.240944,0.406250,0.000000,0.000000,True,145,10000,42
original_grid,recall_at_20,furniture,quissly_vs_luigisbox,0.722177,0.456027,0.266150,0.207693,0.324508,0.000000,0.000000,True,162,10000,42
original_grid,recall_at_20,marketplace,quissly_vs_luigisbox,0.744179,0.427556,0.316623,0.236529,0.395622,0.000000,0.000000,True,103,10000,42
original_grid,recall_at_20,pharmacy,quissly_vs_luigisbox,0.652049,0.319042,0.333006,0.244405,0.420605,0.000000,0.000000,True,139,10000,42
original_grid,recall_at_20,pooled,quissly_vs_luigisbox,0.654912,0.377780,0.277131,0.251871,0.302688,0.000000,0.000000,True,1059,10000,42
corrected_ndcg,ndcg_at_10,auto,quissly_vs_algolia,0.800648,0.510576,0.290071,0.233934,0.345316,0.000000,0.000000,True,180,10000,42
